fileID,f1,f2,vot,notes
bi03_kaka,1139.83,1893.02,18.34,
bi03_kaka1,838.00,1494.00,30.81,
bi03_kaka2,818.24,1662.14,21.68,
bi03_keke,844.19,2393.55,16.39,
bi03_keke1,526.20,2278.27,19.32,
bi03_keke2,467.07,2522.07,15.40,
bi03_kiki,414.53,2668.51,28.92,
bi03_kiki1,353.84,2694.21,21.14,
bi03_kiki2,344.26,2680.33,23.95,
bi03_koko,502.90,848.47,24.66,
bi03_koko1,563.65,895.47,27.28,
bi03_koko2,791.30,1137.65,26.13,
bi03_kuku,406.99,757.66,26.30,
bi03_kuku1,259.56,1681.01,22.12,
bi03_kuku2,412.84,829.21,34.40,
bi03_paka,1127.57,1700.10,8.76,
bi03_paka1,755.69,1622.08,8.79,
bi03_paka2,647.68,1778.32,12.49,
bi03_peke,406.11,1787.80,7.60,
bi03_peke1,556.03,2331.54,11.91,
bi03_peke2,919.77,2459.66,11.52,
bi03_piki,362.91,2682.13,20.69,
bi03_piki1,332.71,2851.72,15.02,
bi03_piki2,1817.73,2946.84,16.90,
bi03_poko,530.09,892.28,33.72,
bi03_poko1,617.30,1806.33,12.75,
bi03_poko2,515.76,871.21,14.20,
bi03_puku,537.29,1596.28,17.15,
bi03_puku1,679.05,1533.11,29.11,
bi03_puku2,422.67,819.43,14.13,
bi03_taka,785.68,1640.74,15.56,
bi03_taka1,836.91,1643.18,10.13,
bi03_taka2,861.62,1540.21,8.43,
bi03_teke,461.62,2349.12,9.30,
bi03_teke1,452.64,2406.26,9.86,
bi03_teke2,424.75,2444.96,7.94,
bi03_tiki,357.13,2505.60,15.27,
bi03_tiki1,880.15,2247.89,9.22,
bi03_tiki2,421.50,1895.53,19.47,
bi03_toko,799.49,924.21,15.24,
bi03_toko1,752.21,1136.98,10.16,
bi03_toko2,774.09,1058.53,10.76,
bi03_tuku,648.70,763.68,10.58,
bi03_tuku1,397.44,730.16,7.16,
bi03_tuku2,397.99,742.70,6.97,
