fileID,f1,f2,vot,notes
ne03_kaka,789.82,1790.60,29.21,
ne03_kaka1,823.39,1706.60,31.38,
ne03_kaka2,874.82,1264.86,41.59,
ne03_keke,619.39,2639.75,29.94,
ne03_keke1,571.49,1810.86,30.84,
ne03_keke2,562.52,2523.83,38.03,
ne03_kiki,521.94,2722.68,36.00,
ne03_kiki1,417.41,1934.22,78.38,
ne03_kiki2,372.76,2799.40,63.07,
ne03_koko,511.37,1070.87,48.43,
ne03_koko1,535.99,1210.05,31.48,
ne03_koko2,572.63,1092.19,34.74,
ne03_kuku,519.67,997.75,48.35,
ne03_kuku1,467.40,1072.22,55.92,
ne03_kuku2,416.42,1048.70,45.02,
ne03_paka,852.29,1786.37,11.60,
ne03_paka1,745.79,1810.16,23.90,
ne03_paka2,769.63,1882.15,11.87,
ne03_peke,547.53,1856.48,11.15,
ne03_peke1,750.22,2473.63,35.67,
ne03_peke2,613.20,2455.62,17.24,
ne03_piki,363.56,2575.94,18.21,
ne03_piki1,379.33,1985.38,39.48,
ne03_piki2,390.68,2166.29,10.25,
ne03_poko,640.30,1117.63,9.02,
ne03_poko1,590.13,1178.49,37.19,
ne03_poko2,594.28,1101.24,35.32,
ne03_puku,409.21,1035.47,30.01,
ne03_puku1,425.18,964.65,45.73,
ne03_puku2,500.91,1002.95,69.06,
ne03_taka,618.25,1355.23,24.17,
ne03_taka1,862.19,1754.96,19.01,
ne03_taka2,529.23,949.91,16.15,
ne03_teke,577.84,1472.63,40.78,
ne03_teke1,573.05,1861.90,32.40,
ne03_teke2,565.80,1671.04,26.70,
ne03_tiki,392.37,2786.27,46.50,
ne03_tiki1,376.90,1542.00,76.36,
ne03_tiki2,410.53,1747.14,28.81,
ne03_toko,615.80,1104.03,34.61,
ne03_toko1,627.12,1199.01,36.80,
ne03_toko2,537.75,1070.44,26.62,
ne03_tuku,445.71,1094.46,42.04,
ne03_tuku1,429.12,1050.20,58.80,
ne03_tuku2,479.82,1118.74,43.22,
